example,model,tau,target_positive_fraction,predicted_positive_fraction,precision,recall,f1,figure_path
1,phys_tau_net,0.006786950069999478,0.17840576171875,0.12628173828125,0.777670372160464,0.5504618542593226,0.6446314102564102,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_01_model_comparison.png
1,unet,0.006786950069999478,0.17840576171875,0.13690185546875,0.6344181899242086,0.4868286007526514,0.5509097948122338,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_01_model_comparison.png
1,attn_unet,0.006786950069999478,0.17840576171875,0.1390380859375,0.6435469710272168,0.501539514197742,0.5637377427417803,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_01_model_comparison.png
1,unet_pp,0.006786950069999478,0.17840576171875,0.11627197265625,0.5742782152230971,0.3742730071843996,0.4531897265948633,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_01_model_comparison.png
1,deeplabv3p,0.006786950069999478,0.17840576171875,0.12841796875,0.7870722433460076,0.5665412247690729,0.6588422518400636,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_01_model_comparison.png
2,phys_tau_net,0.04982204768340796,0.04925537109375,0.1295166015625,0.3642789820923657,0.9578686493184635,0.5278251963127347,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_02_model_comparison.png
2,unet,0.04982204768340796,0.04925537109375,0.153564453125,0.3207472178060413,1.0,0.4857056876316581,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_02_model_comparison.png
2,attn_unet,0.04982204768340796,0.04925537109375,0.15618896484375,0.31535756154747946,1.0,0.4795008912655971,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_02_model_comparison.png
2,unet_pp,0.04982204768340796,0.04925537109375,0.12060546875,0.40789473684210525,0.9987608426270136,0.5792310456342077,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_02_model_comparison.png
2,deeplabv3p,0.04982204768340796,0.04925537109375,0.0997314453125,0.40452876376988983,0.8190830235439901,0.5415813191315035,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_02_model_comparison.png
3,phys_tau_net,0.05448939214646098,0.01080322265625,0.06866455078125,0.15466666666666667,0.9830508474576272,0.2672811059907834,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_03_model_comparison.png
